tranche_age,genres_concat,primaryName,nb_films
80 - 90,Comedy,Jeffrey Tambor,33
80 - 90,Comedy,Christopher Walken,31
80 - 90,Comedy,Christopher Lloyd,30
80 - 90,Comedy,Lin Shaye,29
80 - 90,Comedy,Malcolm McDowell,29
80 - 90,Comedy,Wallace Shawn,28
80 - 90,Comedy,Danny DeVito,26
80 - 90,Crime,Danny Trejo,37
80 - 90,Crime,Morgan Freeman,26
80 - 90,Crime,Robert De Niro,20
80 - 90,Crime,Harvey Keitel,17
80 - 90,Crime,James Caan,17
80 - 90,Crime,Steven Berkoff,16
80 - 90,Crime,Robert Miano,15
80 - 90,Crime,Billy Murray,13
80 - 90,Crime,Bruce Dern,13
80 - 90,Crime,Al Pacino,12
80 - 90,Drama,Danny Trejo,51
80 - 90,Drama,Bruce Dern,44
80 - 90,Drama,Helen Mirren,33
80 - 90,Drama,Paul Sorvino,33
80 - 90,Drama,Anthony Hopkins,31
80 - 90,Drama,Ben Kingsley,31
80 - 90,Drama,Harvey Keitel,31
80 - 90,Drama,Morgan Freeman,31
80 - 90,Drama,Tom Bower,31
80 - 90,Drama,James Caan,30
80 - 90,Family,Russi Taylor,31
80 - 90,Family,John Cleese,22
80 - 90,Family,Michael Angelis,22
80 - 90,Family,Michael Brandon,22
80 - 90,Family,Wallace Shawn,21
80 - 90,Family,Christopher Lloyd,19
80 - 90,Family,Danny Trejo,14
80 - 90,Family,Jeffrey Tambor,14
80 - 90,Family,David Ogden Stiers,13
80 - 90,Family,Barry Corbin,12
80 - 90,Romance,Christopher Lloyd,13
80 - 90,Romance,Blythe Danner,11
80 - 90,Romance,Christopher Walken,11
80 - 90,Romance,Paula Shaw,11
80 - 90,Romance,Terence Kelly,11
80 - 90,Romance,Danny DeVito,10
80 - 90,Romance,Gemma Jones,10
80 - 90,Romance,Jacqueline Bisset,10
80 - 90,Romance,Lin Shaye,10
80 - 90,Romance,Malcolm McDowell,10
80 - 90,ScienceFiction,Lance Henriksen,26
80 - 90,ScienceFiction,Danny Trejo,13
80 - 90,ScienceFiction,Lloyd Kaufman,12
80 - 90,ScienceFiction,Malcolm McDowell,12
80 - 90,ScienceFiction,William B. Davis,11
80 - 90,ScienceFiction,Vernon Wells,10
80 - 90,ScienceFiction,John Hurt,9
80 - 90,ScienceFiction,John Rhys-Davies,8
80 - 90,ScienceFiction,Patrick Stewart,8
80 - 90,ScienceFiction,Reggie Bannister,8
80 - 90,Thriller,Danny Trejo,51
80 - 90,Thriller,Lance Henriksen,44
80 - 90,Thriller,Lin Shaye,28
80 - 90,Thriller,Malcolm McDowell,28
80 - 90,Thriller,Morgan Freeman,27
80 - 90,Thriller,Ben Kingsley,24
80 - 90,Thriller,Robert Miano,24
80 - 90,Thriller,Tobin Bell,22
80 - 90,Thriller,John Rhys-Davies,19
80 - 90,Thriller,Raymond J. Barry,19
90 - 100,Action,James Hong,14
90 - 100,Action,Donald Sutherland,12
90 - 100,Action,Michael Caine,12
90 - 100,Action,Mel Novak,9
90 - 100,Action,William Shatner,8
90 - 100,Action,Tom Skerritt,7
90 - 100,Action,Adam West,6
90 - 100,Action,Christopher Plummer,6
90 - 100,Action,Max von Sydow,6
90 - 100,Action,Seymour Cassel,6
90 - 100,Comedy,Fred Willard,35
90 - 100,Comedy,Edward Asner,29
90 - 100,Comedy,Seymour Cassel,23
90 - 100,Comedy,Cloris Leachman,19
90 - 100,Comedy,Alan Arkin,18
90 - 100,Comedy,James Hong,17
90 - 100,Comedy,Philip Baker Hall,17
90 - 100,Comedy,Christopher Plummer,16
90 - 100,Comedy,Gerry Bednob,16
90 - 100,Comedy,M. Emmet Walsh,16
90 - 100,Crime,Michael Caine,14
90 - 100,Crime,Donald Sutherland,9
90 - 100,Crime,Christopher Plummer,7
90 - 100,Crime,Robert Loggia,7
90 - 100,Crime,James Hong,6
90 - 100,Crime,Seymour Cassel,6
90 - 100,Crime,Philip Baker Hall,5
90 - 100,Crime,Alan Arkin,4
90 - 100,Crime,Bill Cobbs,4
90 - 100,Crime,Gene Hackman,4
90 - 100,Drama,Ellen Burstyn,36
90 - 100,Drama,Christopher Plummer,35
90 - 100,Drama,Donald Sutherland,29
90 - 100,Drama,Edward Asner,28
90 - 100,Drama,Judi Dench,23
90 - 100,Drama,Seymour Cassel,22
90 - 100,Drama,Michael Caine,21
90 - 100,Drama,Lynn Cohen,20
90 - 100,Drama,Tom Skerritt,19
90 - 100,Drama,Alan Arkin,18
90 - 100,Family,Edward Asner,22
90 - 100,Family,Tim Conway,17
90 - 100,Family,John Ingle,16
90 - 100,Family,Casey Kasem,15
90 - 100,Family,Caroll Spinney,14
90 - 100,Family,Ken Sansom,14
90 - 100,Family,Julie Andrews,13
90 - 100,Family,Fred Willard,12
90 - 100,Family,James Hong,11
90 - 100,Family,William Shatner,10
90 - 100,Romance,Edward Asner,13
90 - 100,Romance,Fred Willard,12
90 - 100,Romance,Christopher Plummer,11
90 - 100,Romance,Ellen Burstyn,11
90 - 100,Romance,Shirley MacLaine,11
90 - 100,Romance,Seymour Cassel,10
90 - 100,Romance,Donald Sutherland,9
90 - 100,Romance,Eileen Atkins,9
90 - 100,Romance,Judi Dench,9
90 - 100,Romance,June Squibb,8
90 - 100,ScienceFiction,Conrad Brooks,9
90 - 100,ScienceFiction,James Hong,7
90 - 100,ScienceFiction,Donald Sutherland,5
90 - 100,ScienceFiction,Ellen Burstyn,4
90 - 100,ScienceFiction,Leonard Nimoy,4
90 - 100,ScienceFiction,Michael Caine,4
90 - 100,ScienceFiction,Nichelle Nichols,4
90 - 100,ScienceFiction,Edward Asner,3
90 - 100,ScienceFiction,Mel Novak,3
90 - 100,ScienceFiction,Ted V. Mikels,3
90 - 100,Thriller,Donald Sutherland,14
90 - 100,Thriller,Christopher Plummer,13
90 - 100,Thriller,Michael Caine,12
90 - 100,Thriller,Bill Cobbs,9
90 - 100,Thriller,James Hong,9
90 - 100,Thriller,Judi Dench,7
90 - 100,Thriller,Julian Glover,7
90 - 100,Thriller,Alan Arkin,6
90 - 100,Thriller,Ellen Burstyn,6
90 - 100,Thriller,Mel Novak,6
